vabi_codigo,vabi_codMunicipio,vabi_anio,vabi_tipo_biologicos,vabi_tipo_poblacion,vabi_vacunados,vabi_cobertura
1,41006,2015,1,8,583,81.1
2,41013,2015,1,8,165,102.5
3,41016,2015,1,8,272,85.8
4,41020,2015,1,8,388,102.9
5,41026,2015,1,8,57,139
6,41078,2015,1,8,79,74.5
7,41132,2015,1,8,441,73
8,41206,2015,1,8,97,88.2
9,41244,2015,1,8,37,66.1
10,41298,2015,1,8,1372,93.9
11,41306,2015,1,8,375,100.5
12,41319,2015,1,8,334,95.7
13,41349,2015,1,8,127,83
14,41357,2015,1,8,211,93.4
15,41359,2015,1,8,435,93.8
16,41378,2015,1,8,225,90.4
17,41396,2015,1,8,1537,138
18,41483,2015,1,8,102,94.4
19,41001,2015,1,8,6844,95
20,41503,2015,1,8,211,79.3
21,41518,2015,1,8,90,79.6
22,41524,2015,1,8,382,99.2
23,41530,2015,1,8,182,73.4
24,41548,2015,1,8,263,97.8
25,41551,2015,1,8,2408,91.9
26,41615,2015,1,8,315,100.3
27,41660,2015,1,8,257,102
28,41668,2015,1,8,494,81.9
29,41676,2015,1,8,203,92.3
30,41770,2015,1,8,333,87.4
31,41791,2015,1,8,273,88.6
32,41799,2015,1,8,173,92
33,41801,2015,1,8,138,85.2
34,41797,2015,1,8,153,78.1
35,41807,2015,1,8,297,86.6
36,41872,2015,1,8,77,90.6
37,41885,2015,1,8,97,80.8
38,41006,2015,2,9,578,80.4
39,41013,2015,2,9,165,102.5
40,41016,2015,2,9,270,85.2
41,41020,2015,2,9,379,100.5
42,41026,2015,2,9,57,139
43,41078,2015,2,9,79,74.5
44,41132,2015,2,9,442,73.2
45,41206,2015,2,9,97,88.2
46,41244,2015,2,9,37,66.1
47,41298,2015,2,9,1352,92.5
48,41306,2015,2,9,371,99.5
49,41319,2015,2,9,331,94.8
50,41349,2015,2,9,127,83
51,41357,2015,2,9,205,90.7
52,41359,2015,2,9,432,93.1
53,41378,2015,2,9,227,91.2
54,41396,2015,2,9,1525,136.9
55,41483,2015,2,9,103,95.4
56,41001,2015,2,9,6844,95
57,41503,2015,2,9,211,79.3
58,41518,2015,2,9,89,78.8
59,41524,2015,2,9,382,99.2
60,41530,2015,2,9,181,73
61,41548,2015,2,9,260,96.7
62,41551,2015,2,9,2414,92.2
63,41615,2015,2,9,313,99.7
64,41660,2015,2,9,253,100.4
65,41668,2015,2,9,490,81.3
66,41676,2015,2,9,202,91.8
67,41770,2015,2,9,331,86.9
68,41791,2015,2,9,273,88.6
69,41799,2015,2,9,173,92
70,41801,2015,2,9,138,85.2
71,41797,2015,2,9,154,78.6
72,41807,2015,2,9,297,86.6
73,41872,2015,2,9,76,89.4
74,41885,2015,2,9,96,80
75,41006,2015,3,8,573,79.7
76,41013,2015,3,8,171,106.2
77,41016,2015,3,8,281,88.6
78,41020,2015,3,8,410,108.8
79,41026,2015,3,8,54,131.7
80,41078,2015,3,8,81,76.4
81,41132,2015,3,8,484,80.1
82,41206,2015,3,8,109,99.1
83,41244,2015,3,8,42,75
84,41298,2015,3,8,1430,97.9
85,41306,2015,3,8,346,92.8
86,41319,2015,3,8,350,100.3
87,41349,2015,3,8,133,86.9
88,41357,2015,3,8,232,102.7
89,41359,2015,3,8,432,93.1
90,41378,2015,3,8,246,98.8
91,41396,2015,3,8,1187,106.6
92,41483,2015,3,8,113,104.6
93,41001,2015,3,8,6501,90.2
94,41503,2015,3,8,216,81.2
95,41518,2015,3,8,102,90.3
96,41524,2015,3,8,360,93.5
97,41530,2015,3,8,212,85.5
98,41548,2015,3,8,250,92.9
99,41551,2015,3,8,2353,89.8
100,41615,2015,3,8,309,98.4
101,41660,2015,3,8,265,105.2
102,41668,2015,3,8,468,77.6
103,41676,2015,3,8,208,94.5
104,41770,2015,3,8,352,92.4
105,41791,2015,3,8,291,94.5
106,41799,2015,3,8,205,109
107,41801,2015,3,8,151,93.2
108,41797,2015,3,8,167,85.2
109,41807,2015,3,8,284,82.8
110,41872,2015,3,8,87,102.4
111,41885,2015,3,8,100,83.3
112,41006,2015,4,10,267,70.6
113,41013,2015,4,10,77,94.5
114,41016,2015,4,10,141,91.6
115,41020,2015,4,10,164,84.1
116,41026,2015,4,10,11,50
117,41078,2015,4,10,57,121.3
118,41132,2015,4,10,253,79.1
119,41206,2015,4,10,64,104.9
120,41244,2015,4,10,31,121.6
121,41298,2015,4,10,632,86.2
122,41306,2015,4,10,176,85
123,41319,2015,4,10,149,87.6
124,41349,2015,4,10,67,84.3
125,41357,2015,4,10,95,86.4
126,41359,2015,4,10,186,78.3
127,41378,2015,4,10,135,95.1
128,41396,2015,4,10,498,88.1
129,41483,2015,4,10,60,96
130,41001,2015,4,10,2758,75.8
131,41503,2015,4,10,122,88.7
132,41518,2015,4,10,52,104
133,41524,2015,4,10,136,70.3
134,41530,2015,4,10,94,74.3
135,41548,2015,4,10,101,71.1
136,41551,2015,4,10,1120,91.4
137,41615,2015,4,10,130,78.5
138,41660,2015,4,10,123,92.8
139,41668,2015,4,10,222,74.7
140,41676,2015,4,10,88,72.7
141,41770,2015,4,10,153,79.3
142,41791,2015,4,10,112,71.3
143,41799,2015,4,10,89,96.7
144,41801,2015,4,10,71,91
145,41797,2015,4,10,70,72.2
146,41807,2015,4,10,132,73.9
147,41872,2015,4,10,47,95.9
148,41885,2015,4,10,56,94.9
149,41006,2015,5,11,556,77.3
150,41013,2015,5,11,170,105.6
151,41016,2015,5,11,282,89
152,41020,2015,5,11,397,105.3
153,41026,2015,5,11,52,126.8
154,41078,2015,5,11,81,76.4
155,41132,2015,5,11,477,79
156,41206,2015,5,11,110,100
157,41244,2015,5,11,41,73.2
158,41298,2015,5,11,1416,96.9
159,41306,2015,5,11,344,92.2
160,41319,2015,5,11,344,98.6
161,41349,2015,5,11,128,83.7
162,41357,2015,5,11,230,101.8
163,41359,2015,5,11,430,92.7
164,41378,2015,5,11,247,99.2
165,41396,2015,5,11,1170,105
166,41483,2015,5,11,113,104.6
167,41001,2015,5,11,6361,88.3
168,41503,2015,5,11,217,81.6
169,41518,2015,5,11,101,89.4
170,41524,2015,5,11,360,93.5
171,41530,2015,5,11,210,84.7
172,41548,2015,5,11,247,91.8
173,41551,2015,5,11,2321,88.6
174,41615,2015,5,11,307,97.8
175,41660,2015,5,11,265,105.2
176,41668,2015,5,11,464,76.9
177,41676,2015,5,11,208,94.5
178,41770,2015,5,11,348,91.3
179,41791,2015,5,11,290,94.2
180,41799,2015,5,11,208,110.6
181,41801,2015,5,11,149,92
182,41797,2015,5,11,166,84.7
183,41807,2015,5,11,284,82.8
184,41872,2015,5,11,86,101.2
185,41885,2015,5,11,97,80.8
186,41006,2015,6,12,574,79.83
187,41013,2015,6,12,171,106.21
188,41016,2015,6,12,282,88.96
189,41020,2015,6,12,410,108.75
190,41026,2015,6,12,54,131.71
191,41078,2015,6,12,81,76.42
192,41132,2015,6,12,486,80.46
193,41206,2015,6,12,110,100
194,41244,2015,6,12,42,75
195,41298,2015,6,12,1434,98.15
196,41306,2015,6,12,347,93.03
197,41319,2015,6,12,350,100.29
198,41349,2015,6,12,130,84.97
199,41357,2015,6,12,231,102.21
200,41359,2015,6,12,434,93.53
201,41378,2015,6,12,246,98.8
202,41396,2015,6,12,1186,106.46
203,41483,2015,6,12,113,104.63
204,41001,2015,6,12,6481,89.93
205,41503,2015,6,12,217,81.58
206,41518,2015,6,12,102,90.27
207,41524,2015,6,12,361,93.77
208,41530,2015,6,12,211,85.08
209,41548,2015,6,12,252,93.68
210,41551,2015,6,12,2350,89.73
211,41615,2015,6,12,309,98.41
212,41660,2015,6,12,265,105.16
213,41668,2015,6,12,468,77.61
214,41676,2015,6,12,209,95
215,41770,2015,6,12,352,92.39
216,41791,2015,6,12,291,94.48
217,41799,2015,6,12,211,112.23
218,41801,2015,6,12,151,93.21
219,41797,2015,6,12,166,84.69
220,41807,2015,6,12,285,83.09
221,41872,2015,6,12,87,102.35
222,41885,2015,6,12,99,82.5
223,41006,2015,7,10,554,73.3
224,41013,2015,7,10,158,96.9
225,41016,2015,7,10,301,97.7
226,41020,2015,7,10,379,97.2
227,41026,2015,7,10,43,97.7
228,41078,2015,7,10,104,110.6
229,41132,2015,7,10,548,85.6
230,41206,2015,7,10,109,89.3
231,41244,2015,7,10,62,121.6
232,41298,2015,7,10,1483,101.2
233,41306,2015,7,10,367,88.6
234,41319,2015,7,10,328,96.5
235,41349,2015,7,10,152,95.6
236,41357,2015,7,10,190,86.4
237,41359,2015,7,10,397,83.6
238,41378,2015,7,10,250,88
239,41396,2015,7,10,1131,100.1
240,41483,2015,7,10,100,80
241,41001,2015,7,10,6371,87.5
242,41503,2015,7,10,226,82.2
243,41518,2015,7,10,118,118
244,41524,2015,7,10,363,93.8
245,41530,2015,7,10,217,85.8
246,41548,2015,7,10,256,90.1
247,41551,2015,7,10,2528,103.1
248,41615,2015,7,10,341,103
249,41660,2015,7,10,232,87.5
250,41668,2015,7,10,486,81.8
251,41676,2015,7,10,226,93.4
252,41770,2015,7,10,348,90.2
253,41791,2015,7,10,257,81.8
254,41799,2015,7,10,199,102.6
255,41801,2015,7,10,214,116.3
256,41797,2015,7,10,139,89.1
257,41807,2015,7,10,287,80.4
258,41872,2015,7,10,87,88.8
259,41885,2015,7,10,109,92.4
260,41006,2015,7,13,565,85.3
261,41013,2015,7,13,149,80.5
262,41016,2015,7,13,276,87.1
263,41020,2015,7,13,413,93.9
264,41026,2015,7,13,45,90
265,41078,2015,7,13,84,60.4
266,41132,2015,7,13,456,82.8
267,41206,2015,7,13,121,83.4
268,41244,2015,7,13,42,64.6
269,41298,2015,7,13,1215,87.4
270,41306,2015,7,13,349,80.2
271,41319,2015,7,13,325,84.2
272,41349,2015,7,13,114,89.1
273,41357,2015,7,13,190,80.2
274,41359,2015,7,13,399,81.8
275,41378,2015,7,13,252,79
276,41396,2015,7,13,1095,88.5
277,41483,2015,7,13,113,99.1
278,41001,2015,7,13,5286,78.6
279,41503,2015,7,13,213,77.7
280,41518,2015,7,13,98,93.3
281,41524,2015,7,13,287,73.6
282,41530,2015,7,13,226,95.8
283,41548,2015,7,13,239,91.9
284,41551,2015,7,13,2161,86.4
285,41615,2015,7,13,330,97.1
286,41660,2015,7,13,224,83
287,41668,2015,7,13,499,86.8
288,41676,2015,7,13,185,85.6
289,41770,2015,7,13,370,103.1
290,41791,2015,7,13,269,82.5
291,41799,2015,7,13,167,86.5
292,41801,2015,7,13,185,88.1
293,41797,2015,7,13,110,69.2
294,41807,2015,7,13,313,80.3
295,41872,2015,7,13,77,70.6
296,41885,2015,7,13,99,81.1
297,41006,2014,1,,552,75.1
298,41013,2014,1,,165,95.93
299,41016,2014,1,,282,91.56
300,41020,2014,1,,359,96.51
301,41026,2014,1,,45,97.83
302,41078,2014,1,,102,83.61
303,41132,2014,1,,528,87.56
304,41206,2014,1,,108,73.47
305,41244,2014,1,,56,81.16
306,41298,2014,1,,1453,98.18
307,41306,2014,1,,369,89.35
308,41319,2014,1,,330,95.38
309,41349,2014,1,,141,95.92
310,41357,2014,1,,196,79.35
311,41359,2014,1,,406,80.08
312,41378,2014,1,,216,73.22
313,41396,2014,1,,1172,103.44
314,41483,2014,1,,82,61.65
315,41001,2014,1,,6766,92.58
316,41503,2014,1,,229,77.36
317,41518,2014,1,,92,81.42
318,41524,2014,1,,369,103.07
319,41530,2014,1,,222,85.71
320,41548,2014,1,,246,78.34
321,41551,2014,1,,2614,97.94
322,41615,2014,1,,313,99.68
323,41660,2014,1,,224,84.53
324,41668,2014,1,,505,83.61
325,41676,2014,1,,205,88.74
326,41770,2014,1,,314,80.31
327,41791,2014,1,,254,79.87
328,41799,2014,1,,196,101.55
329,41801,2014,1,,128,75.29
330,41797,2014,1,,182,92.86
331,41807,2014,1,,295,70.91
332,41872,2014,1,,84,85.71
333,41885,2014,1,,108,81.2
334,41006,2014,2,,545,74.15
335,41013,2014,2,,157,91.28
336,41016,2014,2,,282,91.56
337,41020,2014,2,,353,94.89
338,41026,2014,2,,44,95.65
339,41078,2014,2,,96,78.69
340,41132,2014,2,,527,87.4
341,41206,2014,2,,108,73.47
342,41244,2014,2,,56,81.16
343,41298,2014,2,,1430,96.62
344,41306,2014,2,,366,88.62
345,41319,2014,2,,322,93.06
346,41349,2014,2,,141,95.92
347,41357,2014,2,,190,76.92
348,41359,2014,2,,395,77.91
349,41378,2014,2,,197,66.78
350,41396,2014,2,,1155,101.94
351,41483,2014,2,,80,60.15
352,41001,2014,2,,6732,92.12
353,41503,2014,2,,224,75.68
354,41518,2014,2,,81,71.68
355,41524,2014,2,,366,102.23
356,41530,2014,2,,215,83.01
357,41548,2014,2,,235,74.84
358,41551,2014,2,,2596,97.26
359,41615,2014,2,,309,98.41
360,41660,2014,2,,220,83.02
361,41668,2014,2,,495,81.95
362,41676,2014,2,,203,87.88
363,41770,2014,2,,310,79.28
364,41791,2014,2,,257,80.82
365,41799,2014,2,,194,100.52
366,41801,2014,2,,126,74.12
367,41797,2014,2,,173,88.27
368,41807,2014,2,,291,69.95
369,41872,2014,2,,84,85.71
370,41885,2014,2,,108,81.2
371,41006,2014,8,,610,82.99
372,41013,2014,8,,151,87.79
373,41016,2014,8,,309,100.32
374,41020,2014,8,,362,97.31
375,41026,2014,8,,36,78.26
376,41078,2014,8,,98,80.33
377,41132,2014,8,,593,98.34
378,41206,2014,8,,101,68.71
379,41244,2014,8,,51,73.91
380,41298,2014,8,,1399,94.53
381,41306,2014,8,,370,89.59
382,41319,2014,8,,332,95.95
383,41349,2014,8,,150,102.04
384,41357,2014,8,,210,85.02
385,41359,2014,8,,432,85.21
386,41378,2014,8,,233,78.98
387,41396,2014,8,,1081,95.41
388,41483,2014,8,,97,72.93
389,41001,2014,8,,6338,86.73
390,41503,2014,8,,248,83.78
391,41518,2014,8,,114,100.88
392,41524,2014,8,,385,107.54
393,41530,2014,8,,239,92.28
394,41548,2014,8,,253,80.57
395,41551,2014,8,,2486,93.14
396,41615,2014,8,,310,98.73
397,41660,2014,8,,228,86.04
398,41668,2014,8,,539,89.24
399,41676,2014,8,,205,88.74
400,41770,2014,8,,358,91.56
401,41791,2014,8,,300,94.34
402,41799,2014,8,,175,90.67
403,41801,2014,8,,140,82.35
404,41797,2014,8,,197,100.51
405,41807,2014,8,,287,68.99
406,41872,2014,8,,80,81.63
407,41885,2014,8,,98,73.68
408,41006,2014,9,,611,83.13
409,41013,2014,9,,151,87.79
410,41016,2014,9,,310,100.65
411,41020,2014,9,,362,97.31
412,41026,2014,9,,36,78.26
413,41078,2014,9,,98,80.33
414,41132,2014,9,,593,98.34
415,41206,2014,9,,101,68.71
416,41244,2014,9,,51,73.91
417,41298,2014,9,,1401,94.66
418,41306,2014,9,,371,89.83
419,41319,2014,9,,333,96.24
420,41349,2014,9,,150,102.04
421,41357,2014,9,,210,85.02
422,41359,2014,9,,432,85.21
423,41378,2014,9,,233,78.98
424,41396,2014,9,,1081,95.41
425,41483,2014,9,,97,72.93
426,41001,2014,9,,6344,86.81
427,41503,2014,9,,247,83.45
428,41518,2014,9,,114,100.88
429,41524,2014,9,,386,107.82
430,41530,2014,9,,239,92.28
431,41548,2014,9,,253,80.57
432,41551,2014,9,,2490,93.29
433,41615,2014,9,,310,98.73
434,41660,2014,9,,229,86.42
435,41668,2014,9,,539,89.24
436,41676,2014,9,,205,88.74
437,41770,2014,9,,358,91.56
438,41791,2014,9,,300,94.34
439,41799,2014,9,,175,90.67
440,41801,2014,9,,140,82.35
441,41797,2014,9,,197,100.51
442,41807,2014,9,,288,69.23
443,41872,2014,9,,80,81.63
444,41885,2014,9,,99,74.44
445,41006,2014,5,,567,77.14
446,41013,2014,5,,172,100
447,41016,2014,5,,315,102.27
448,41020,2014,5,,357,95.97
449,41026,2014,5,,46,100
450,41078,2014,5,,99,81.15
451,41132,2014,5,,568,94.2
452,41206,2014,5,,107,72.79
453,41244,2014,5,,59,85.51
454,41298,2014,5,,1433,96.82
455,41306,2014,5,,360,87.17
456,41319,2014,5,,348,100.58
457,41349,2014,5,,141,95.92
458,41357,2014,5,,212,85.83
459,41359,2014,5,,441,86.98
460,41378,2014,5,,241,81.69
461,41396,2014,5,,1085,95.76
462,41483,2014,5,,102,76.69
463,41001,2014,5,,6379,87.29
464,41503,2014,5,,245,82.77
465,41518,2014,5,,115,101.77
466,41524,2014,5,,370,103.35
467,41530,2014,5,,227,87.64
468,41548,2014,5,,235,74.84
469,41551,2014,5,,2473,92.66
470,41615,2014,5,,315,100.32
471,41660,2014,5,,247,93.21
472,41668,2014,5,,523,86.59
473,41676,2014,5,,199,86.15
474,41770,2014,5,,340,86.96
475,41791,2014,5,,291,91.51
476,41799,2014,5,,185,95.85
477,41801,2014,5,,146,85.88
478,41797,2014,5,,184,93.88
479,41807,2014,5,,283,68.03
480,41872,2014,5,,80,81.63
481,41885,2014,5,,105,78.95
482,41006,2014,6,,579,78.78
483,41013,2014,6,,174,101.16
484,41016,2014,6,,312,101.3
485,41020,2014,6,,372,100
486,41026,2014,6,,48,104.35
487,41078,2014,6,,93,76.23
488,41132,2014,6,,575,95.36
489,41206,2014,6,,108,73.47
490,41244,2014,6,,60,86.96
491,41298,2014,6,,1443,97.5
492,41306,2014,6,,361,87.41
493,41319,2014,6,,354,102.31
494,41349,2014,6,,141,95.92
495,41357,2014,6,,212,85.83
496,41359,2014,6,,441,86.98
497,41378,2014,6,,241,81.69
498,41396,2014,6,,1108,97.79
499,41483,2014,6,,102,76.69
500,41001,2014,6,,6418,87.82
501,41503,2014,6,,244,82.43
502,41518,2014,6,,107,94.69
503,41524,2014,6,,374,104.47
504,41530,2014,6,,226,87.26
505,41548,2014,6,,237,75.48
506,41551,2014,6,,2479,92.88
507,41615,2014,6,,318,101.27
508,41660,2014,6,,247,93.21
509,41668,2014,6,,529,87.58
510,41676,2014,6,,194,83.98
511,41770,2014,6,,342,87.47
512,41791,2014,6,,293,92.14
513,41799,2014,6,,185,95.85
514,41801,2014,6,,148,87.06
515,41797,2014,6,,186,94.9
516,41807,2014,6,,290,69.71
517,41872,2014,6,,80,81.63
518,41885,2014,6,,104,78.2
519,41006,2014,7,10,680,94.97
520,41013,2014,7,10,161,94.15
521,41016,2014,7,10,300,97.4
522,41020,2014,7,10,386,105.46
523,41026,2014,7,10,39,88.64
524,41078,2014,7,10,90,75
525,41132,2014,7,10,618,102.49
526,41206,2014,7,10,111,76.55
527,41244,2014,7,10,47,66.2
528,41298,2014,7,10,1377,94.9
529,41306,2014,7,10,410,98.8
530,41319,2014,7,10,323,95.28
531,41349,2014,7,10,161,109.52
532,41357,2014,7,10,209,86.36
533,41359,2014,7,10,450,91.65
534,41378,2014,7,10,261,91.58
535,41396,2014,7,10,1096,89.84
536,41483,2014,7,10,117,91.41
537,41001,2014,7,10,6543,88.79
538,41503,2014,7,10,260,91.23
539,41518,2014,7,10,95,87.96
540,41524,2014,7,10,382,107.3
541,41530,2014,7,10,248,95.75
542,41548,2014,7,10,253,83.22
543,41551,2014,7,10,2362,89.23
544,41615,2014,7,10,334,103.73
545,41660,2014,7,10,249,85.57
546,41668,2014,7,10,551,92.14
547,41676,2014,7,10,229,99.57
548,41770,2014,7,10,391,102.62
549,41791,2014,7,10,311,100.32
550,41799,2014,7,10,174,92.06
551,41801,2014,7,10,145,85.29
552,41797,2014,7,10,171,88.14
553,41807,2014,7,10,300,72.82
554,41872,2014,7,10,94,94.95
555,41885,2014,7,10,106,80.92
556,41006,2014,7,13,519,78.16
557,41013,2014,7,13,181,111.04
558,41016,2014,7,13,301,94.95
559,41020,2014,7,13,383,79.3
560,41026,2014,7,13,44,88
561,41078,2014,7,13,109,79.56
562,41132,2014,7,13,502,88.07
563,41206,2014,7,13,131,87.33
564,41244,2014,7,13,65,114.04
565,41298,2014,7,13,1263,90.6
566,41306,2014,7,13,369,87.44
567,41319,2014,7,13,321,82.95
568,41349,2014,7,13,125,95.42
569,41357,2014,7,13,222,93.67
570,41359,2014,7,13,460,94.26
571,41378,2014,7,13,262,78.68
572,41396,2014,7,13,1129,90.61
573,41483,2014,7,13,99,86.84
574,41001,2014,7,13,5454,82.54
575,41503,2014,7,13,268,104.69
576,41518,2014,7,13,89,80.18
577,41524,2014,7,13,357,90.84
578,41530,2014,7,13,238,102.15
579,41548,2014,7,13,236,88.06
580,41551,2014,7,13,2298,88.79
581,41615,2014,7,13,294,85.47
582,41660,2014,7,13,234,86.35
583,41668,2014,7,13,548,94.65
584,41676,2014,7,13,196,87.11
585,41770,2014,7,13,342,93.19
586,41791,2014,7,13,301,88.53
587,41799,2014,7,13,184,88.89
588,41801,2014,7,13,134,79.76
589,41797,2014,7,13,180,90.91
590,41807,2014,7,13,336,84
591,41872,2014,7,13,86,78.9
592,41885,2014,7,13,98,77.78
593,41006,2013,10,,713,95.1
594,41013,2013,10,,160,93
595,41016,2013,10,,290,89.5
596,41020,2013,10,,368,94.4
597,41026,2013,10,,31,67.4
598,41078,2013,10,,117,98.3
599,41132,2013,10,,570,83.7
600,41206,2013,10,,114,77.6
601,41244,2013,10,,53,76.8
602,41298,2013,10,,1378,90.2
603,41306,2013,10,,395,88.6
604,41319,2013,10,,332,94.1
605,41349,2013,10,,145,106.6
606,41357,2013,10,,214,76.7
607,41359,2013,10,,486,101
608,41378,2013,10,,277,95.8
609,41396,2013,10,,1101,97.3
610,41483,2013,10,,129,105.7
611,41001,2013,10,,6567,89.2
612,41503,2013,10,,290,100.3
613,41518,2013,10,,110,100.9
614,41524,2013,10,,315,85.8
615,41530,2013,10,,234,87.6
616,41548,2013,10,,283,87.6
617,41551,2013,10,,2574,100.1
618,41615,2013,10,,316,100
619,41660,2013,10,,274,95.8
620,41668,2013,10,,569,94.8
621,41676,2013,10,,234,126.5
622,41770,2013,10,,385,101.6
623,41791,2013,10,,309,88.8
624,41799,2013,10,,162,81
625,41801,2013,10,,171,83
626,41797,2013,10,,163,107.9
627,41807,2013,10,,324,72.8
628,41872,2013,10,,98,98
629,41885,2013,10,,108,76.6
630,41006,2013,11,,713,95.1
631,41013,2013,11,,161,93.6
632,41016,2013,11,,290,89.5
633,41020,2013,11,,368,94.4
634,41026,2013,11,,31,67.4
635,41078,2013,11,,117,98.3
636,41132,2013,11,,570,83.7
637,41206,2013,11,,114,77.6
638,41244,2013,11,,53,76.8
639,41298,2013,11,,1378,90.2
640,41306,2013,11,,395,88.6
641,41319,2013,11,,332,94.1
642,41349,2013,11,,145,106.6
643,41357,2013,11,,214,76.7
644,41359,2013,11,,486,101
645,41378,2013,11,,277,95.8
646,41396,2013,11,,1101,97.3
647,41483,2013,11,,129,105.7
648,41001,2013,11,,6567,89.2
649,41503,2013,11,,290,100.3
650,41518,2013,11,,110,100.9
651,41524,2013,11,,315,85.8
652,41530,2013,11,,234,87.6
653,41548,2013,11,,282,87.3
654,41551,2013,11,,2574,100.1
655,41615,2013,11,,316,100
656,41660,2013,11,,274,95.8
657,41668,2013,11,,569,94.8
658,41676,2013,11,,234,126.5
659,41770,2013,11,,385,101.6
660,41791,2013,11,,309,88.8
661,41799,2013,11,,162,81
662,41801,2013,11,,171,83
663,41797,2013,11,,163,107.9
664,41807,2013,11,,324,72.8
665,41872,2013,11,,98,98
666,41885,2013,11,,108,76.6
667,41006,2013,1,,641,85.5
668,41013,2013,1,,138,80.2
669,41016,2013,1,,251,77.5
670,41020,2013,1,,327,83.8
671,41026,2013,1,,42,91.3
672,41078,2013,1,,88,73.9
673,41132,2013,1,,500,73.4
674,41206,2013,1,,88,59.9
675,41244,2013,1,,41,59.4
676,41298,2013,1,,1409,92.2
677,41306,2013,1,,377,84.5
678,41319,2013,1,,322,91.2
679,41349,2013,1,,119,87.5
680,41357,2013,1,,186,66.7
681,41359,2013,1,,380,79
682,41378,2013,1,,233,80.6
683,41396,2013,1,,1019,90.1
684,41483,2013,1,,122,100
685,41001,2013,1,,6900,93.7
686,41503,2013,1,,234,81
687,41518,2013,1,,80,73.4
688,41524,2013,1,,308,83.9
689,41530,2013,1,,213,79.8
690,41548,2013,1,,255,78.9
691,41551,2013,1,,2939,114.3
692,41615,2013,1,,275,87
693,41660,2013,1,,219,76.6
694,41668,2013,1,,502,83.7
695,41676,2013,1,,197,106.5
696,41770,2013,1,,338,89.2
697,41791,2013,1,,293,84.2
698,41799,2013,1,,174,87
699,41801,2013,1,,136,66
700,41797,2013,1,,104,68.9
701,41807,2013,1,,251,56.4
702,41872,2013,1,,106,106
703,41885,2013,1,,90,63.8
704,41006,2013,2,,633,84.4
705,41013,2013,2,,136,79.1
706,41016,2013,2,,249,76.9
707,41020,2013,2,,317,81.3
708,41026,2013,2,,42,91.3
709,41078,2013,2,,89,74.8
710,41132,2013,2,,503,73.9
711,41206,2013,2,,88,59.9
712,41244,2013,2,,41,59.4
713,41298,2013,2,,1392,91.1
714,41306,2013,2,,369,82.7
715,41319,2013,2,,314,89
716,41349,2013,2,,117,86
717,41357,2013,2,,181,64.9
718,41359,2013,2,,371,77.1
719,41378,2013,2,,233,80.6
720,41396,2013,2,,1006,88.9
721,41483,2013,2,,119,97.5
722,41001,2013,2,,6746,91.6
723,41503,2013,2,,233,80.6
724,41518,2013,2,,81,74.3
725,41524,2013,2,,299,81.5
726,41530,2013,2,,209,78.3
727,41548,2013,2,,252,78
728,41551,2013,2,,2896,112.6
729,41615,2013,2,,276,87.3
730,41660,2013,2,,216,75.5
731,41668,2013,2,,501,83.5
732,41676,2013,2,,193,104.3
733,41770,2013,2,,332,87.6
734,41791,2013,2,,283,81.3
735,41799,2013,2,,174,87
736,41801,2013,2,,135,65.5
737,41797,2013,2,,102,67.5
738,41807,2013,2,,249,56
739,41872,2013,2,,106,106
740,41885,2013,2,,90,63.8
741,41006,2013,12,,713,95.1
742,41013,2013,12,,161,93.6
743,41016,2013,12,,290,89.5
744,41020,2013,12,,368,94.4
745,41026,2013,12,,31,67.4
746,41078,2013,12,,117,98.3
747,41132,2013,12,,570,83.7
748,41206,2013,12,,114,77.6
749,41244,2013,12,,53,76.8
750,41298,2013,12,,1378,90.2
751,41306,2013,12,,395,88.6
752,41319,2013,12,,332,94.1
753,41349,2013,12,,145,106.6
754,41357,2013,12,,214,76.7
755,41359,2013,12,,486,101
756,41378,2013,12,,277,95.8
757,41396,2013,12,,1101,97.3
758,41483,2013,12,,129,105.7
759,41001,2013,12,,6567,89.2
760,41503,2013,12,,290,100.3
761,41518,2013,12,,110,100.9
762,41524,2013,12,,315,85.8
763,41530,2013,12,,234,87.6
764,41548,2013,12,,282,87.3
765,41551,2013,12,,2574,100.1
766,41615,2013,12,,316,100
767,41660,2013,12,,274,95.8
768,41668,2013,12,,569,94.8
769,41676,2013,12,,234,126.5
770,41770,2013,12,,385,101.6
771,41791,2013,12,,309,88.8
772,41799,2013,12,,162,81
773,41801,2013,12,,171,83
774,41797,2013,12,,163,107.9
775,41807,2013,12,,324,72.8
776,41872,2013,12,,98,98
777,41885,2013,12,,108,76.6
778,41006,2013,5,,678,90.4
779,41013,2013,5,,143,83.1
780,41016,2013,5,,277,85.5
781,41020,2013,5,,369,94.6
782,41026,2013,5,,34,73.9
783,41078,2013,5,,107,89.9
784,41132,2013,5,,550,80.8
785,41206,2013,5,,110,74.8
786,41244,2013,5,,38,55.1
787,41298,2013,5,,1365,89.3
788,41306,2013,5,,406,91
789,41319,2013,5,,323,91.5
790,41349,2013,5,,165,121.3
791,41357,2013,5,,202,72.4
792,41359,2013,5,,430,89.4
793,41378,2013,5,,265,91.7
794,41396,2013,5,,1067,94.3
795,41483,2013,5,,132,108.2
796,41001,2013,5,,6545,88.9
797,41503,2013,5,,268,92.7
798,41518,2013,5,,92,84.4
799,41524,2013,5,,324,88.3
800,41530,2013,5,,219,82
801,41548,2013,5,,277,85.8
